src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
192.168.15.1,192.168.15.2,DNS,53,60952,214,2,0.000247955322265625,0.000247955322265625,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2001,QUIC,41908,443,6378,24,0.9979279041290283,0.043388169744740364,0.0937304546494178,0
2800:3f0:4001:83b::2001,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,41908,28584,41,0.9569501876831055,0.023923754692077637,0.0733322538580568,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2001,TCP,59198,443,1212,14,158.4123079776764,12.185562152128954,23.478791387525096,0
2800:3f0:4001:83b::2001,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,59198,8546,15,158.39175701141357,11.313696929386683,29.8660959578272,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2001,TLS,59198,443,1689,8,158.32041001319885,22.61720143045698,28.752871566622616,0
2800:3f0:4001:83b::2001,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,59198,3220,6,116.97517800331116,23.395035600662233,32.025610997702856,0
192.168.15.3,224.0.0.252,LLMNR,56956,5355,74,1,0.0,0.0,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:816::200a,QUIC,37374,443,2693,11,0.1702439785003662,0.01702439785003662,0.01513374729491757,0
2800:3f0:4001:816::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,37374,13212,15,0.1452481746673584,0.010374869619097029,0.01578167850580021,0
192.168.15.2,192.168.15.1,DNS,57377,53,142,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,57377,186,2,0.00020599365234375,0.00020599365234375,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:835::200e,QUIC,55714,443,2867,12,0.20633220672607422,0.01875747333873402,0.01954781811011733,0
2800:3f0:4001:835::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,55714,10939,15,0.23099899291992188,0.016499928065708706,0.021538876570618152,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:835::200e,TCP,59126,443,1126,13,155.78656601905823,12.982213834921518,23.966699594082186,0
2800:3f0:4001:835::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,59126,5872,12,155.76347088813782,14.160315535285257,32.597741824402554,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:835::200e,TLS,59126,443,1675,8,155.69468903541565,22.242098433630808,28.524833622233725,0
2800:3f0:4001:835::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,59126,3027,6,117.37937092781067,23.475874185562134,32.1327093633537,0
192.168.15.2,192.168.15.1,DNS,37069,53,186,2,5.9604644775390625e-06,5.9604644775390625e-06,,0
